Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,January,2025,183,429
Palestine,West Bank,Nablus,PSE,PS0115,PS01,January,2025,145,8
Palestine,West Bank,Hebron,PSE,PS0150,PS01,January,2025,78,0
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,January,2025,45,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,January,2025,13,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,January,2025,72,0
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,January,2025,96,139
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,January,2025,70,130
Palestine,West Bank,Tubas,PSE,PS0105,PS01,January,2025,32,16
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,January,2025,58,3
Palestine,West Bank,Salfit,PSE,PS0125,PS01,January,2025,41,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,January,2025,139,281
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,January,2025,80,93
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,January,2025,25,1
Palestine,West Bank,Jenin,PSE,PS0101,PS01,January,2025,92,41
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,January,2025,38,6
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,February,2025,26,12
Palestine,West Bank,Nablus,PSE,PS0115,PS01,February,2025,123,4
Palestine,West Bank,Hebron,PSE,PS0150,PS01,February,2025,62,3
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,February,2025,42,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,February,2025,14,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,February,2025,59,0
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,February,2025,32,33
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,February,2025,7,3
Palestine,West Bank,Tubas,PSE,PS0105,PS01,February,2025,30,6
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,February,2025,33,2
Palestine,West Bank,Salfit,PSE,PS0125,PS01,February,2025,14,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,February,2025,15,19
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,February,2025,52,61
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,February,2025,31,0
Palestine,West Bank,Jenin,PSE,PS0101,PS01,February,2025,85,8
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,February,2025,58,8
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,March,2025,121,401
Palestine,West Bank,Nablus,PSE,PS0115,PS01,March,2025,127,4
Palestine,West Bank,Hebron,PSE,PS0150,PS01,March,2025,94,0
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,March,2025,38,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,March,2025,7,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,March,2025,67,0
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,March,2025,148,371
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,March,2025,83,193
Palestine,West Bank,Tubas,PSE,PS0105,PS01,March,2025,12,1
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,March,2025,31,2
Palestine,West Bank,Salfit,PSE,PS0125,PS01,March,2025,25,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,March,2025,82,119
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,March,2025,139,213
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,March,2025,28,1
Palestine,West Bank,Jenin,PSE,PS0101,PS01,March,2025,56,9
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,March,2025,38,0
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,April,2025,212,503
Palestine,West Bank,Nablus,PSE,PS0115,PS01,April,2025,100,5
Palestine,West Bank,Hebron,PSE,PS0150,PS01,April,2025,62,0
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,April,2025,49,1
